COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
POLI 221,1,Government of Canada,12/20/2019,9:00,GYM,Fieldhouse,1-8,AAA,ZZZ
POLI 226,1,La vie politique québécoise,12/5/2019,14:00,GYM,main gym,37-40,AAA,ZZZ
POLI 244,1,Intl Politics: State Behaviour,12/10/2019,9:00,GYM,Fieldhouse,10-29,AAA,ZZZ
POLI 318,1,Comparative Local Government,12/5/2019,18:30,GYM,main gym,27-31,AAA,ZZZ
POLI 329,1,Russian and Soviet Politics,12/17/2019,9:00,GYM,Fieldhouse,42-45,AAA,ZZZ
POLI 339,1,Comp Developed: Topics 1,12/6/2019,9:00,GYM,Fieldhouse,33-34,AAA,ZZZ
POLI 340,1,Developing Areas/Middle East,12/12/2019,18:30,GYM,Fieldhouse,24-32,AAA,ZZZ
POLI 346,1,American Foreign Policy,12/9/2019,9:00,GYM,main gym,24-33,AAA,ZZZ
POLI 347,1,"Arab-Israel Confl,Crisis,Peace",12/17/2019,18:30,GYM,main gym,32-41,AAA,ZZZ
POLI 359,1,Topics in Intl Politics 1,12/19/2019,18:30,GYM,Fieldhouse,32-34,AAA,ZZZ
POLI 360,1,Security: War and Peace,12/16/2019,18:30,GYM,main gym,30-38,AAA,ZZZ
POLI 364,1,Radical Political Thought,12/11/2019,14:00,TAKE,HOME,,AAA,ZZZ
POLI 423,1,Politics of Ethno-Nationalism,12/20/2019,9:00,GYM,Fieldhouse,42-43,AAA,ZZZ
POLI 426,1,Partis pol et comp élect au Qc,12/13/2019,14:00,ARTS,260,,AAA,ZZZ
POLI 433,1,Hist of Pol/Soc Theory 3,12/18/2019,9:00,ARTS,260,,AAA,ZZZ
POLI 435,1,Identity and Inequality,12/10/2019,9:00,GYM,Fieldhouse,39-40,AAA,ZZZ
POLI 444,3,Topics in Intl Politics 2,12/12/2019,14:00,GYM,main gym,20-22,AAA,ZZZ
POLI 445,1,IPE: Monetary Relations,12/11/2019,9:00,GYM,Fieldhouse,29-31,AAA,ZZZ
POLI 451,1,The European Union,12/19/2019,14:00,GYM,Studio 2,1-7,AAA,ZZZ
PSYC 100,1,Introduction to Psychology,12/17/2019,9:00,GYM,Fieldhouse,10-31,AAA,ZZZ
PSYC 204,1,Intro to Psychological Stats,12/19/2019,18:30,GYM,Fieldhouse,1-16,AAA,ZZZ
PSYC 211,1,Intro Behavioural Neuroscience,12/5/2019,9:00,GYM,Fieldhouse,14-35,AAA,ZZZ
PSYC 215,1,Social Psychology,12/13/2019,14:00,GYM,Fieldhouse,15-36,AAA,ZZZ
PSYC 301,1,Animal Learning and Theory,12/13/2019,9:00,GYM,main gym,25-31,AAA,ZZZ
PSYC 304,1,Child Development,12/20/2019,9:00,GYM,Fieldhouse,19-32,AAA,ZZZ
PSYC 305,1,Statistics for Exper Design,12/10/2019,18:30,GYM,Fieldhouse,33-44,AAA,ZZZ
PSYC 310,1,Intelligence,12/12/2019,9:00,GYM,main gym,25-33,AAA,ZZZ
PSYC 311,1,Human Cognition and the Brain,12/6/2019,9:00,GYM,main gym,3-15,AAA,ZZZ
PSYC 315,1,Computational Psychology,12/6/2019,14:00,GYM,main gym,41-43,AAA,ZZZ
PSYC 328,1,Health Psychology,12/13/2019,14:00,GYM,main gym,1-23,AAA,ZZZ
PSYC 332,1,Intro to Personality,12/5/2019,14:00,GYM,Fieldhouse,9-22,AAA,ZZZ
PSYC 337,1,Intro to Psychopathology,12/19/2019,9:00,GYM,main gym,3-21,AAA,ZZZ
PSYC 342,1,Hormones & Behaviour,12/18/2019,9:00,GYM,Fieldhouse,21-26,AAA,ZZZ
PSYC 403,1,Modern Psych in Hist Persp,12/10/2019,9:00,GYM,Fieldhouse,1-6,AAA,ZZZ
PSYC 406,1,Psychological Tests,12/12/2019,14:00,GYM,Fieldhouse,21-32,AAA,ZZZ
PSYC 436,1,Human Sexuality & Its Problems,12/9/2019,9:00,GYM,Fieldhouse,1-6,AAA,ZZZ
PSYC 470,1,Memory and Brain,12/18/2019,14:00,TAKE,HOME,,AAA,ZZZ
PSYC 474,1,Interpersonal Relationships,12/16/2019,14:00,GYM,Fieldhouse,30-33,AAA,ZZZ
PSYC 475,1,Neuroscience of Social Psych,12/5/2019,18:30,GYM,main gym,32-34,AAA,ZZZ
PSYC 530,1,Applied Topics in Deafness,12/16/2019,9:00,TAKE,HOME,,AAA,ZZZ
PSYC 538,1,Categoriz Communic & Consciou,12/19/2019,14:00,TAKE,HOME,,AAA,ZZZ
QCST 200,1,Intro to the Study of Quebec,12/16/2019,9:00,TAKE,HOME,,AAA,ZZZ
RELG 210,1,Jesus of Nazareth,12/11/2019,14:00,BIRKS,205,,AAA,ZZZ
RELG 257D1,1,Introductory Sanskrit,12/12/2019,14:00,BIRKS,105,,AAA,ZZZ
RELG 257D1,761,Introductory Sanskrit,12/12/2019,14:00,BIRKS,105,,AAA,ZZZ
RELG 373,1,Christian Ethics of Love,12/16/2019,9:00,TAKE,HOME,,AAA,ZZZ
RELG 381,1,Adv. New Testament Greek,12/20/2019,9:00,BIRKS,105,,AAA,ZZZ
RUSS 217,1,Russia's Eternal Questions,12/16/2019,14:00,TAKE,HOME,,AAA,ZZZ
RUSS 337,1,Vladimir Nabokov,12/10/2019,14:00,TAKE,HOME,,AAA,ZZZ
SEAD 550,1,Dec-Making for Sust: Eng & Des,12/5/2019,9:00,ENGTR,1080,,AAA,ZZZ
SOCI 210,1,Sociological Perspectives,12/9/2019,18:30,GYM,main gym,3-12,AAA,ZZZ
SOCI 213,1,Deviance,12/11/2019,9:00,GYM,Fieldhouse,34-37,AAA,ZZZ
