COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
BREE 319,1,Engineering Mathematics,12/10/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
BREE 322,1,Organic Waste Management,12/5/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
BREE 324,1,Elements of Food Engineering,12/16/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
BREE 325,1,Food Process Engineering,12/16/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
BREE 327,1,Bio-Environmental Engineering,12/13/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
BTEC 501,1,Bioinformatics,12/12/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
BTEC 620,3,Biotechnology Laboratory 1,12/19/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
BUSA 364,51,Business Law 1,12/10/2019,9:00,GYM,Fieldhouse,7-9,AAA,ZZZ
BUSA 391,71,International Business Law,12/9/2019,14:00,GYM,Fieldhouse,35,AAA,ZZZ
CANS 200,1,Intro to the Study of Canada,12/13/2019,9:00,GYM,Fieldhouse,11-16,AAA,ZZZ
CANS 303,1,Topics in Canadian Studies 3,12/16/2019,18:30,ARTS,W-20,,AAA,ZZZ
CANS 405,1,Canadian Studies Seminar 5,12/6/2019,18:30,TAKE,HOME,,AAA,ZZZ
CHEE 200,1,Chem Engineering Principles 1,12/6/2019,9:00,GYM,Studio 1,1-6,AAA,ZZZ
CHEE 231,1,Data Anal & Design of Exp,12/12/2019,14:00,GYM,main gym,30-36,AAA,ZZZ
CHEE 291,1,Instrumentation&Measurement 1,12/19/2019,14:00,GYM,Fieldhouse,1-4,AAA,ZZZ
CHEE 314,1,Fluid Mechanics,12/11/2019,14:00,GYM,Fieldhouse,37-38,AAA,ZZZ
CHEE 370,1,Elements of Biotechnology,12/19/2019,18:30,GYM,Fieldhouse,22-23,AAA,ZZZ
CHEE 380,1,Materials Science,12/9/2019,14:00,GYM,Fieldhouse,36-37,AAA,ZZZ
CHEE 400,1,Princ of Energy Conversion,12/10/2019,9:00,GYM,BLEACHERS,1-4,AAA,ZZZ
CHEE 423,1,Chemical Reaction Engineering,12/18/2019,9:00,ENGTR,0100,,AAA,ZZZ
CHEE 453,1,Process Design,12/20/2019,9:00,ENGTR,0100,,AAA,ZZZ
CHEE 456,1,Design Project 1,12/16/2019,9:00,RPHYS,112,,AAA,ZZZ
CHEE 457,1,Design Project 2,12/17/2019,9:00,RPHYS,112,,AAA,ZZZ
CHEE 474,1,Biochemical Engineering,12/6/2019,9:00,STBIO,S3/3,,AAA,ZZZ
CHEE 543,1,Plasma Engineering,12/12/2019,14:00,ENGTR,2110,,AAA,ZZZ
CHEM 110,1,General Chemistry 1,12/18/2019,14:00,GYM,Fieldhouse,1-29,AAA,ZZZ
CHEM 110,2,General Chemistry 1,12/18/2019,14:00,GYM,Fieldhouse,1-29,AAA,ZZZ
CHEM 183,1,World of Chem: Drugs,12/6/2019,18:30,GYM,Fieldhouse,,AAA,ZZZ
CHEM 203,1,Survey of Physical Chemistry,12/20/2019,9:00,GYM,Fieldhouse,9-13,AAA,ZZZ
CHEM 204,1,Physical Chem./Biol.Sci. 1,12/11/2019,14:00,GYM,Fieldhouse,28-31,AAA,ZZZ
CHEM 211,1,Organic Chemistry 1 Lectures,12/17/2019,14:00,GYM,Fieldhouse,1-23,AAA,ZZZ
CHEM 212,1,Intro Organic Chemistry 1,12/17/2019,14:00,GYM,Fieldhouse,1-23,AAA,ZZZ
CHEM 213,1,Introductory Phys Chem1:Thermo,12/11/2019,9:00,GYM,main gym,3-5,AAA,ZZZ
CHEM 222,1,Intro Organic Chemistry 2,12/5/2019,14:00,GYM,main gym,19-32,AAA,ZZZ
CHEM 234,1,Topics in Organic Chemistry,12/5/2019,14:00,GYM,main gym,19-32,AAA,ZZZ
CHEM 267,1,Introductory Chemical Analysis,12/6/2019,14:00,GYM,Fieldhouse,16-17,AAA,ZZZ
CHEM 302,1,Intro Organic Chemistry 3,12/17/2019,14:00,GYM,main gym,7-13,AAA,ZZZ
CHEM 345,1,Intro to Quantum Chemistry,12/12/2019,18:30,GYM,main gym,32-33,AAA,ZZZ
CHEM 367,1,Instrumental Analysis 1,12/10/2019,9:00,GYM,Fieldhouse,45-46,AAA,ZZZ
CHEM 381,1,Inorganic Chemistry 2,12/20/2019,9:00,GYM,main gym,32-33,AAA,ZZZ
CHEM 429,1,"Chem of Energy, Storage & Util",12/20/2019,14:00,TAKE,HOME,,AAA,ZZZ
CHEM 503,1,Drug Discovery,12/19/2019,9:00,MAASS,10,,AAA,ZZZ
CHEM 520,1,Methods in Chemical Biology,12/18/2019,9:00,MAASS,328,,AAA,ZZZ
CHEM 522,1,Stereochemistry,12/13/2019,14:00,MAASS,217,,AAA,ZZZ
CHEM 532,1,Structural Organic Chemistry,12/20/2019,9:00,MAASS,217,,AAA,ZZZ
CHEM 534,1,Nanoscience and Nanotechnology,12/11/2019,9:00,TAKE,HOME,,AAA,ZZZ
CHEM 556,1,Advanced Quantum Mechanics,12/18/2019,14:00,MAASS,328,,AAA,ZZZ
CIVE 205,1,Statics,12/6/2019,14:00,GYM,Fieldhouse,40-44,AAA,ZZZ
CIVE 207,1,Solid Mechanics,12/9/2019,18:30,GYM,BLEACHERS,1-5,AAA,ZZZ
CIVE 208,1,Civil Engineering Sys Analysis,12/11/2019,9:00,GYM,main gym,6-11,AAA,ZZZ
CIVE 281,1,Analytical Mechanics,12/20/2019,9:00,GYM,Fieldhouse,14-18,AAA,ZZZ
CIVE 290,1,Thermodynamics & Heat Transfer,12/17/2019,18:30,GYM,main gym,6-12,AAA,ZZZ
CIVE 311,1,Geotechnical Mechanics,12/6/2019,9:00,GYM,Fieldhouse,39-42,AAA,ZZZ
CIVE 317,1,Structural Engineering 1,12/10/2019,9:00,GYM,Fieldhouse,36-38,AAA,ZZZ
CIVE 320,1,Numerical Methods,12/11/2019,14:00,GYM,Fieldhouse,32-34,AAA,ZZZ
CIVE 323,1,Hydrology and Water Resources,12/16/2019,9:00,GYM,Fieldhouse,41-44,AAA,ZZZ
CIVE 385,1,Structural Steel&Timber Design,12/19/2019,18:30,GYM,main gym,42-44,AAA,ZZZ
CIVE 440,1,Traffic Engineering&Simulation,12/6/2019,9:00,GYM,Fieldhouse,45,AAA,ZZZ
CIVE 446,1,Construction Engineering,12/17/2019,14:00,GYM,main gym,14-15,AAA,ZZZ
CIVE 460,1,Matrix Structural Analysis,12/10/2019,9:00,GYM,main gym,44-45,AAA,ZZZ
CIVE 462,1,Design of Steel Structures,12/5/2019,14:00,GYM,main gym,33-36,AAA,ZZZ
CIVE 527,1,Renov&Preserv:Infrastructure,12/18/2019,9:00,GYM,Studio 2,1-4,AAA,ZZZ
CIVE 557,1,Microbio for Environmental Eng,12/20/2019,9:00,ENGTR,0070,,AAA,ZZZ
CIVE 560,1,Transportation Safety & Design,12/9/2019,9:00,ENGTR,0070,,AAA,ZZZ
CLAS 201,1,Greece and Rome,12/5/2019,18:30,GYM,main gym,19-26,AAA,ZZZ
CLAS 210,1,Introductory Latin 1,12/12/2019,9:00,MAASS,10,,AAA,ZZZ
CLAS 210,2,Introductory Latin 1,12/12/2019,9:00,MAASS,10,,AAA,ZZZ
CLAS 210,3,Introductory Latin 1,12/12/2019,9:00,BURN,1B36,,AAA,ZZZ
CLAS 220,1,Introductory Ancient Greek 1,12/17/2019,18:30,GYM,main gym,13-14,AAA,ZZZ
CLAS 301,1,Ancient Greek Lit & Society,12/10/2019,18:30,ARTS,260,,AAA,ZZZ
CLAS 305,1,Roman Religion,12/19/2019,18:30,GYM,Fieldhouse,35-37,AAA,ZZZ
CLAS 310,1,Intermediate Latin 1,12/20/2019,9:00,ARTS,260,,AAA,ZZZ
CLAS 320,1,Intermediate Ancient Greek 1,12/13/2019,14:00,ARTS,W-20,,AAA,ZZZ
CLAS 331,1,Intermediate Modern Greek 1,12/11/2019,9:00,LEA,819,,AAA,ZZZ
CLAS 402,1,Hellenistic Lit. and Society,12/9/2019,9:00,TAKE,HOME,,AAA,ZZZ
CLAS 410,1,Advanced Latin: Authors,12/17/2019,14:00,ARTS,260,,AAA,ZZZ
CLAS 420,1,Advanced Ancient Greek: Author,12/16/2019,14:00,LEA,808,,AAA,ZZZ
CLAS 610,1,Readings in Latin Literature,12/17/2019,14:00,ARTS,260,,AAA,ZZZ
CLAS 620,1,Readings in Ancient Greek Lit,12/16/2019,14:00,LEA,808,,AAA,ZZZ
COMP 202,2,Foundations of Programming,12/16/2019,18:30,GYM,Fieldhouse,11-35,AAA,ZZZ
COMP 202,3,Foundations of Programming,12/16/2019,18:30,GYM,Fieldhouse,11-35,AAA,ZZZ
COMP 204,1,Comp. Programming for Life Sci,12/6/2019,9:00,GYM,main gym,16-23,AAA,ZZZ
COMP 206,1,Intro to Software Systems,12/11/2019,9:00,GYM,Fieldhouse,7-24,AAA,ZZZ
COMP 208,1,Computer Programming for PS&E,12/16/2019,9:00,GYM,Fieldhouse,28-36,AAA,ZZZ
COMP 208,2,Computer Programming for PS&E,12/16/2019,9:00,GYM,Fieldhouse,28-36,AAA,ZZZ
COMP 230,1,Logic and Computability,12/17/2019,9:00,GYM,BLEACHERS,1-5,AAA,ZZZ
COMP 250,1,Intro to Computer Science,12/16/2019,9:00,GYM,Fieldhouse,1-24,AAA,ZZZ
COMP 250,2,Intro to Computer Science,12/16/2019,9:00,GYM,Fieldhouse,1-24,AAA,ZZZ
COMP 251,1,Algorithms and Data Structures,12/16/2019,18:30,GYM,main gym,3-29,AAA,ZZZ
COMP 273,1,Intro to Computer Systems,12/5/2019,14:00,GYM,main gym,3-18,AAA,ZZZ
COMP 302,1,Programming Lang & Paradigms,12/12/2019,14:00,GYM,Fieldhouse,11-20,AAA,ZZZ
COMP 302,2,Programming Lang & Paradigms,12/12/2019,14:00,GYM,Fieldhouse,11-20,AAA,ZZZ
COMP 303,1,Software Design,12/9/2019,18:30,GYM,Fieldhouse,39-46,AAA,ZZZ
COMP 310,1,Operating Systems,12/18/2019,9:00,GYM,Fieldhouse,32-39,AAA,ZZZ
COMP 330,1,Theory of Computation,12/19/2019,9:00,GYM,main gym,31-45,AAA,ZZZ
COMP 350,1,Numerical Computing,12/11/2019,14:00,GYM,main gym,3-16,AAA,ZZZ
COMP 360,1,Algorithm Design,12/16/2019,9:00,GYM,Studio 1,1-7,AAA,McC
COMP 360,1,Algorithm Design,12/16/2019,9:00,GYM,Studio 2,1-7,MEY,ZZZ
COMP 361D1,1,Software Engineering Project,12/11/2019,9:00,GYM,main gym,12-17,AAA,ZZZ
COMP 462,1,Computational Biology Methods,12/19/2019,14:00,GYM,main gym,39-44,AAA,ZZZ
COMP 521,1,Modern Computer Games,12/10/2019,14:00,GYM,BLEACHERS,1-4,AAA,ZZZ
COMP 553,1,Algorithmic Game Theory,12/9/2019,9:00,GYM,main gym,34-37,AAA,ZZZ
COMP 557,1,Fundamentals of Comp. Graphics,12/16/2019,14:00,GYM,Fieldhouse,39-43,AAA,ZZZ
COMP 557,3,Fundamentals of Comp. Graphics,12/16/2019,14:00,GYM,Fieldhouse,39-43,AAA,ZZZ
COMP 558,1,Fund. of Computer Vision,12/5/2019,9:00,GYM,Studio 1,1-5,AAA,ZZZ
COMP 561,1,Comp. Biol. Methods & Research,12/19/2019,14:00,GYM,main gym,39-44,AAA,ZZZ
COMP 598,8,Topics in Computer Science 1,12/9/2019,14:00,GYM,main gym,25-30,AAA,ZZZ
COMP 599,3,Topics in Computer Science 2,12/9/2019,14:00,GYM,main gym,25-30,AAA,ZZZ
COMS 301,1,Core Concepts in Critic Theory,12/16/2019,14:00,TAKE,HOME,,AAA,ZZZ
COMS 361,1,Selected Topics Comm Studies 1,12/10/2019,14:00,TAKE,HOME,,AAA,ZZZ
COMS 362,1,Selected Topics Comm Studies 2,12/17/2019,9:00,TAKE,HOME,,AAA,ZZZ
EAST 213,1,Intro:East Asian Culture:Korea,12/11/2019,14:00,TAKE,HOME,,AAA,ZZZ
EAST 241,1,Japanese Writing Beginners 1,12/16/2019,14:00,SH688,295,,AAA,ZZZ
EAST 341,1,Japanese Writing Intermed. 1,12/19/2019,9:00,SH688,295,,AAA,ZZZ
ECON 208,1,Microeconomic Analysis&Applic,12/9/2019,14:00,GYM,Fieldhouse,9-19,AAA,ZZZ
ECON 208,2,Microeconomic Analysis&Applic,12/9/2019,14:00,GYM,Fieldhouse,20-30,AAA,ZZZ
ECON 208,3,Microeconomic Analysis&Applic,12/9/2019,14:00,GYM,Fieldhouse,1-8,AAA,ZZZ
ECON 208,4,Microeconomic Analysis&Applic,12/9/2019,14:00,GYM,Fieldhouse,31-34,AAA,ZZZ
ECON 209,1,Macroeconomic Analysis&Applic,12/18/2019,9:00,GYM,BLEACHERS,1-5,AAA,ZZZ
ECON 227D1,1,Economic Statistics,12/16/2019,14:00,GYM,main gym,3-22,AAA,ZZZ
ECON 227D1,2,Economic Statistics,12/16/2019,14:00,GYM,main gym,3-22,AAA,ZZZ
ECON 227D1,3,Economic Statistics,12/16/2019,14:00,GYM,main gym,3-22,AAA,ZZZ
ECON 227D1,5,Economic Statistics,12/16/2019,14:00,GYM,main gym,23-25,AAA,ZZZ
ECON 230D1,1,Microeconomic Theory,12/19/2019,9:00,GYM,Fieldhouse,7-12,AAA,ZZZ
ECON 230D1,2,Microeconomic Theory,12/19/2019,9:00,GYM,Fieldhouse,13-20,AAA,ZZZ
ECON 250D1,1,Intro to Econ Theory: Honours,12/19/2019,9:00,GYM,Fieldhouse,21-24,AAA,ZZZ
ECON 257D1,1,Economic Statistics-Honours,12/13/2019,9:00,GYM,main gym,39-45,AAA,ZZZ
ECON 295,1,Macroeconomics Policy,12/19/2019,9:00,GYM,Fieldhouse,40-44,AAA,ZZZ
ECON 295,2,Macroeconomics Policy,12/19/2019,9:00,GYM,Fieldhouse,40-44,AAA,ZZZ
ECON 302,1,"Money, Banking & Gov Policy",12/6/2019,14:00,GYM,Fieldhouse,28-34,AAA,ZZZ
ECON 305,1,Industrial Organization,12/12/2019,14:00,GYM,Fieldhouse,33-35,AAA,ZZZ
ECON 306,1,Labour Markets and Wages,12/16/2019,18:30,GYM,Fieldhouse,1-4,AAA,ZZZ
ECON 313,1,Economic Development 1,12/18/2019,14:00,GYM,main gym,1-14,AAA,ZZZ
ECON 313,2,Economic Development 1,12/18/2019,14:00,GYM,Studio 1,1-5,AAA,KWO
ECON 313,2,Economic Development 1,12/18/2019,14:00,GYM,Studio 2,1-6,LAF,ZZZ
ECON 319,1,Economic Crises,12/17/2019,18:30,GYM,main gym,15-24,AAA,ZZZ
ECON 337,1,Intro Econometrics 1,12/10/2019,9:00,GYM,Studio 1,1-6,AAA,ZZZ
ECON 352D1,1,Macroeconomics - Honours,12/9/2019,14:00,GYM,main gym,31-34,AAA,ZZZ
ECON 408,1,Public Sector Economics 1,12/11/2019,14:00,GYM,BLEACHERS,1-5,AAA,ZZZ
ECON 423,1,International Trade,12/17/2019,14:00,GYM,Fieldhouse,33-37,AAA,ZZZ
ECON 426,1,Labour Economics,12/11/2019,9:00,GYM,Fieldhouse,39-40,AAA,ZZZ
ECON 452,1,Adv Economic Theory 2-Honours,12/6/2019,14:00,GYM,305,1-5,AAA,ZZZ
ECON 468,1,Econometrics 1 - Honours,12/18/2019,9:00,GYM,Fieldhouse,16-17,AAA,ZZZ
ECON 546,1,Game Theory,12/5/2019,9:00,GYM,Fieldhouse,44-45,AAA,ZZZ
ECSE 200,1,Electric Circuits 1,12/12/2019,9:00,GYM,Fieldhouse,21-25,AAA,ZZZ
ECSE 202,1,Intro to Software Development,12/13/2019,14:00,GYM,main gym,24-37,AAA,ZZZ
ECSE 205,1,Prob and Stats for Engineers,12/6/2019,14:00,GYM,Studio 1,1-7,AAA,MWI
ECSE 205,1,Prob and Stats for Engineers,12/6/2019,14:00,GYM,Studio 2,1-6,NAK,ZZZ
ECSE 206,1,Intro to Signals and Systems,12/18/2019,9:00,GYM,Fieldhouse,18,AAA,ZZZ
ECSE 210,1,Electric Circuits 2,12/20/2019,9:00,GYM,main gym,1-2,AAA,ZZZ
ECSE 222,1,Digital Logic,12/10/2019,9:00,ENGTR,0100,,AAA,ZZZ
ECSE 223,1,Model-Based Programming,12/5/2019,18:30,GYM,main gym,39-44,AAA,ZZZ
ECSE 251,1,Electric and Magnetic Fields,12/6/2019,9:00,GYM,Fieldhouse,43-44,AAA,ZZZ
ECSE 307,1,Linear Systems and Control,12/18/2019,9:00,GYM,Studio 1,1-4,AAA,ZZZ
ECSE 308,1,Intro to Commun Sys & Networks,12/12/2019,9:00,GYM,Fieldhouse,38-40,AAA,ZZZ
ECSE 309,1,Fund. of Comm Systems&Networks,12/12/2019,9:00,GYM,Fieldhouse,38-40,AAA,ZZZ
ECSE 321,1,Intro. to Software Engineering,12/6/2019,9:00,GYM,Fieldhouse,35-38,AAA,ZZZ
ECSE 324,1,Computer Organization,12/9/2019,18:30,GYM,main gym,13-24,AAA,ZZZ
ECSE 326,1,Software Requirements Engineer,12/17/2019,18:30,GYM,Fieldhouse,11-14,AAA,ZZZ
ECSE 331,1,Electronics,12/11/2019,9:00,GYM,main gym,18-23,AAA,ZZZ
ECSE 334,1,Intro. to Microelectronics,12/18/2019,9:00,GYM,main gym,33-35,AAA,ZZZ
ECSE 335,1,Microelectronics,12/18/2019,9:00,GYM,main gym,33-35,AAA,ZZZ
ECSE 352,1,Electromagnetic Waves,12/19/2019,9:00,GYM,main gym,28-30,AAA,ZZZ
ECSE 353,1,Electromagnetic Fields&Waves,12/19/2019,18:30,GYM,Fieldhouse,24-25,AAA,ZZZ
ECSE 354,1,Electromag Wave Propagation,12/19/2019,9:00,GYM,main gym,28-30,AAA,ZZZ
ECSE 361,1,Power Engineering,12/17/2019,9:00,GYM,Fieldhouse,40-41,AAA,ZZZ
ECSE 362,1,Fundamentals of Power Eng,12/17/2019,9:00,GYM,Fieldhouse,40-41,AAA,ZZZ
ECSE 403,1,Control,12/16/2019,9:00,GYM,main gym,36-38,AAA,ZZZ
ECSE 408,1,Communication Systems,12/6/2019,14:00,ENGTR,0060,,AAA,ZZZ
ECSE 412,1,Discrete TimeSignal Processing,12/10/2019,18:30,GYM,main gym,1-3,AAA,ZZZ
ECSE 415,1,Intro to Computer Vision,12/11/2019,14:00,GYM,main gym,17-23,AAA,ZZZ
ECSE 427,1,Operating Systems,12/18/2019,9:00,GYM,Fieldhouse,32-39,AAA,ZZZ
ECSE 437,1,Software Delivery,12/17/2019,14:00,GYM,main gym,16-19,AAA,ZZZ
ECSE 446,1,Realistic Image Synthesis,12/9/2019,14:00,GYM,main gym,25-30,AAA,ZZZ
ECSE 461,1,Electric Machinery,12/6/2019,14:00,GYM,BLEACHERS,1-5,AAA,ZZZ
ECSE 501,1,Linear Systems,12/5/2019,18:30,ENGTR,0060,,AAA,ZZZ
ECSE 501,2,Linear Systems,12/5/2019,18:30,ENGTR,0060,,AAA,ZZZ
ECSE 509,1,Probability & Random Signals 2,12/17/2019,14:00,ENGTR,1100,,AAA,ZZZ
ECSE 509,2,Probability & Random Signals 2,12/17/2019,14:00,ENGTR,1100,,AAA,ZZZ
ECSE 512,1,Digital Signal Processing 1,12/10/2019,18:30,GYM,main gym,1-3,AAA,ZZZ
ECSE 512,2,Digital Signal Processing 1,12/10/2019,18:30,GYM,main gym,1-3,AAA,ZZZ
ECSE 519,1,Semicon Nanostr & Nanophot Dev,12/16/2019,9:00,TAKE,HOME,,AAA,ZZZ
ECSE 519,2,Semicon Nanostr & Nanophot Dev,12/16/2019,9:00,TAKE,HOME,,AAA,ZZZ
ECSE 534,1,Analog Microelectronics,12/17/2019,18:30,TAKE,HOME,,AAA,ZZZ
ECSE 534,2,Analog Microelectronics,12/17/2019,18:30,TAKE,HOME,,AAA,ZZZ
ECSE 546,1,Advanced Image Synthesis,12/9/2019,14:00,GYM,main gym,25-30,AAA,ZZZ
ECSE 546,2,Advanced Image Synthesis,12/9/2019,14:00,GYM,main gym,25-30,AAA,ZZZ
EDEC 247,1,Policy Issues in Quebec Educ,12/17/2019,9:00,GYM,Fieldhouse,32-39,AAA,ZZZ
EDEC 247,2,Policy Issues in Quebec Educ,12/17/2019,9:00,GYM,Fieldhouse,32-39,AAA,ZZZ
EDEC 247,761,Policy Issues in Quebec Educ,12/17/2019,9:00,GYM,Fieldhouse,32-39,AAA,ZZZ
EDEE 230,1,Elementary School Math. 1,12/16/2019,9:00,TAKE,HOME,,AAA,ZZZ
EDEE 230,2,Elementary School Math. 1,12/16/2019,9:00,TAKE,HOME,,AAA,ZZZ
EDEE 230,3,Elementary School Math. 1,12/16/2019,9:00,TAKE,HOME,,AAA,ZZZ
EDEE 280,1,"Geog., Hist. & Citizenship Ed.",12/18/2019,9:00,GYM,Fieldhouse,9-12,AAA,ZZZ
EDKP 261,1,Motor Development,12/9/2019,14:00,GYM,BLEACHERS,1-5,AAA,ZZZ
EDKP 261,2,Motor Development,12/9/2019,14:00,GYM,BLEACHERS,1-5,AAA,ZZZ
EDKP 292,1,Nutrition and Wellness,12/12/2019,9:00,GYM,Fieldhouse,1-7,AAA,ZZZ
EDKP 293,1,Anatomy and Physiology,12/19/2019,18:30,GYM,Fieldhouse,26-27,AAA,ZZZ
EDKP 330,1,Physical Activity and Health,12/18/2019,9:00,GYM,main gym,21-29,AAA,ZZZ
EDKP 330,002,Physical Activity and Health,12/18/2019,9:00,GYM,main gym,21-29,AAA,ZZZ
EDKP 391,001,Physiology in Sport & Exercise,12/16/2019,9:00,GYM,main gym,39-41,AAA,ZZZ
EDKP 395,001,Exercise Physiology,12/16/2019,9:00,GYM,Fieldhouse,25-27,AAA,ZZZ
EDKP 396,001,Adapted Physical Activity,12/19/2019,14:00,GYM,Fieldhouse,36-39,AAA,ZZZ
EDKP 396,002,Adapted Physical Activity,12/19/2019,14:00,GYM,Fieldhouse,36-39,AAA,ZZZ
EDKP 444,001,Ergonomics,12/5/2019,14:00,GYM,Fieldhouse,45-46,AAA,ZZZ
EDKP 445,001,Exercise Metabolism,12/6/2019,14:00,GYM,408,,AAA,ZZZ
EDKP 498,001,Sport Psychology,12/11/2019,9:00,GYM,main gym,24-32,AAA,ZZZ
EDKP 498,002,Sport Psychology,12/11/2019,9:00,GYM,main gym,24-32,AAA,ZZZ
EDKP 498,003,Sport Psychology,12/11/2019,9:00,GYM,main gym,24-32,AAA,ZZZ
EDSL 305,001,L2 Learning:Classroom Settings,12/12/2019,14:00,GYM,main gym,37-40,AAA,ZZZ
ENGL 202,001,Dept. Survey of English Lit. 1,12/12/2019,14:00,GYM,main gym,3-12,AAA,ZZZ
ENGL 215,001,Intro to Shakespeare,12/5/2019,9:00,TAKE,HOME,,AAA,ZZZ
ENGL 229,001,Canadian Literature 2,12/13/2019,14:00,GYM,main gym,42-45,AAA,ZZZ
ENGL 230,001,Intro to Theatre Studies,12/20/2019,9:00,ARTS,W-215,,AAA,ZZZ
ENGL 277,001,Introduction to Film Studies,12/19/2019,14:00,GYM,BLEACHERS,1-5,AAA,ZZZ
ENGL 311,001,Poetics,12/6/2019,14:00,GYM,main gym,27-33,AAA,ZZZ
ENGL 311,002,Poetics,12/6/2019,14:00,GYM,main gym,27-33,AAA,ZZZ
ENGL 311,003,Poetics,12/6/2019,14:00,GYM,main gym,27-33,AAA,ZZZ
ENGL 311,004,Poetics,12/6/2019,14:00,GYM,main gym,27-33,AAA,ZZZ
ENGL 313,001,Canadian Drama and Theatre,12/10/2019,9:00,TAKE,HOME,,AAA,ZZZ
ENGL 316,001,Milton,12/11/2019,14:00,TAKE,HOME,,AAA,ZZZ
ENGL 318,001,Theory of English Studies 2,12/13/2019,9:00,GYM,Fieldhouse,9,AAA,ZZZ
ENGL 322,001,Theories of the Text,12/9/2019,14:00,TAKE,HOME,,AAA,ZZZ
ENGL 326,001,19th Century American Prose,12/17/2019,18:30,GYM,main gym,25-27,AAA,ZZZ
ENGL 335,001,The 20th Century Novel 1,12/10/2019,9:00,TAKE,HOME,,AAA,ZZZ
ENGL 356,001,Middle English,12/5/2019,14:00,TAKE,HOME,,AAA,ZZZ
ENGL 422,001,Studies in 19th C American Lit,12/18/2019,14:00,TAKE,HOME,,AAA,ZZZ
ENTO 330,001,Insect Biology,12/19/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
ENTO 330,001L,Insect Biology,12/12/2019,14:M00a,donald Ste,art MSB-023,,AAA,ZZZ
ENVB 210,001,The Biophysical Environment,12/19/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
ENVB 301,001,Meteorology,12/18/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
ENVB 410,001,Ecosystem Ecology,12/9/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
ENVR 200,001,The Global Environment,12/10/2019,18:30,GYM,main gym,4-13,AAA,ZZZ
ENVR 200,051,The Global Environment,12/11/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
ENVR 201,001,"Society,Environ&Sustainability",12/17/2019,18:30,GYM,Fieldhouse,3-10,AAA,ZZZ
ENVR 203,051,"Knowledge, Ethics&Environment",12/17/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
EPSC 185,001,Natural Disasters,12/19/2019,18:30,GYM,main gym,3-41,AAA,ZZZ
EPSC 201,001,Understanding Planet Earth,12/10/2019,9:00,GYM,Fieldhouse,30-35,AAA,ZZZ
EPSC 210,001,Introductory Mineralogy,12/13/2019,14:00,ADAMS,348,,AAA,ZZZ
EPSC 220,001,Principles of Geochemistry,12/19/2019,9:00,ADAMS,211,,AAA,ZZZ
EPSC 221,001,General Geology,12/13/2019,9:00,GYM,BLEACHERS,1-5,AAA,ZZZ
EPSC 233,001,Earth and Life History,12/20/2019,9:00,ADAMS,348,,AAA,ZZZ
EPSC 303,001,Structural Geology,12/19/2019,9:00,ADAMS,348,,AAA,ZZZ
EPSC 320,001,Elementary Earth Physics,12/5/2019,14:00,ADAMS,315,,AAA,ZZZ
EPSC 340,001,Earth and Planetary Inference,12/11/2019,14:00,ADAMS,348,,AAA,ZZZ
EPSC 519,001,Isotopes in Earth & Env Sci,12/16/2019,9:00,TAKE,HOME,,AAA,ZZZ
ESYS 300,1,Investigating the Earth System,12/16/2019,9:00,TAKE,HOME,,AAA,ZZZ
EXMD 501,1,Clinical Applications of Regenerati,12/11/2019,9:00,ENGTR,0060,,AAA,ZZZ
EXMD 502,1,Advanced Endocrinology 1,12/16/2019,18:30,GYM,BLEACHERS,4-5,AAA,ZZZ
EXMD 504,1,Biology of Cancer,12/6/2019,14:00,GYM,Fieldhouse,18-20,AAA,ZZZ
EXMD 506,1,Adv Appl Cardiovascular Physio,12/9/2019,9:00,"BLOCK E GlenSite",EM1.3509,,AAA,ZZZ
EXMD 507,1,Adv Respiratory Physiology,12/6/2019,14:00,GYM,main gym,44-45,AAA,ZZZ
EXMD 510,1,Bioanalytical Separation Meth,12/18/2019,14:00,"DurfordHouse","Conference RoomF1",,AAA,ZZZ
FACC 220,1,Law for Architects & Engineers,12/9/2019,9:00,GYM,main gym,15-23,AAA,ZZZ
FACC 300,1,Engineering Economy,12/5/2019,9:00,GYM,Fieldhouse,1-11,AAA,ZZZ
FACC 300,2,Engineering Economy,12/5/2019,9:00,GYM,Fieldhouse,1-11,AAA,ZZZ
FACC 400,1,Eng Professional Practice,12/12/2019,18:30,GYM,Fieldhouse,33-44,AAA,ZZZ
FACC 400,2,Eng Professional Practice,12/12/2019,18:30,GYM,Fieldhouse,33-44,AAA,ZZZ
FDSC 200,1,Introduction to Food Science,12/19/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
